,Nombre,Apodo,País,Año inicio,Año fin,Víctimas probadas,Víctimas estimadas,Delito principal,Forma de matar,Víctimas
953,"Jennings, Wilbur Lee",The Ditchbank Killer,United,1981,1984,6,6+,Violación,Asesinato,Hombres
954,"Jesperson, Keith Hunter",The Happy Face Killer,United,1990,1995,8,8+,Otros,Asesinato,Desconocidos
955,"Johansen, William",,United,1933,1940,3,17,Otros,Asesinato,Hombres
956,"Johnson, Alvin",,United,1972,1983,3,3,Otros,Asesinato,Personas_Vulnerables
957,"Johnson, Martha Ann",,United,1977,1982,3,4,Otros,Asesinato,Menores
958,"Johnson, Matthew Steven",,United,2000,2001,3,5,Otros,Asesinato,Hombres
959,"Johnson, Melvin",,United,1984,1988,4,4+,Otros,Asesinato,Desconocidos
960,"Johnson, Michael",,United,2008,2010,4,4+,Otros,Asesinato,Prostitutas
961,"Johnson, Milton",,United,1983,1984,10,10+,Otros,Asesinato,Personas_Vulnerables
962,"Johnson, Raymond Eugene",,United,1995,2007,3,3,Otros,Asesinato,Desconocidos
963,"Johnson, Vincent",The Brooklyn Strangler,United,1999,2000,5,5,Otros,Estrangulamiento,Prostitutas
964,"Jones, Andre Vernell",,United,1978,1979,5,8,Otros,Asesinato,Personas_Vulnerables
965,"Jones, Daniel O.",,United,1998,2001,4,4,Otros,Apuñalamiento,Hombres
966,"Jones, Genene",,United,1977,1982,2,60+,Otros,Veneno,Desconocidos
967,"Jones, George Lamar",,United,1972,1997,3,3+,Otros,Estrangulamiento,Prostitutas
968,"Jones, Jack Harold",,United,1983,1995,3,3+,Otros,Veneno,Hombres
970,"Jones, Willie Ben",they had to be punished,United,1980,1990,3,4,Otros,Asesinato,Prostitutas
971,"Joubert, John",The Nebraska Boy Snatcher,United,1982,1983,3,3,Otros,Asesinato,Menores
973,"Junco, Francisco del",,United,1995,1996,4,4,Otros,Asesinato,Prostitutas
974,"Kadamovas, Jurijus",,United,2001,2002,5,5,Secuestro,Asesinato,Personas_Vulnerables
975,"Kallinger, Joseph",,United,1974,1975,3,3,Otros,Asesinato,Desconocidos
976,"Kaprat, Edwin",The Granny Killer,United,1991,1993,6,6,Otros,Asesinato,Hombres
977,"Kearney, Patrick",The Trash Bag Killer,United,1965,1977,21,43,Otros,Asesinato,Desconocidos
978,"Kee, Arohn",East-Harlem Rapist,United,1991,1998,3,3+,Violación,Asesinato,Hombres
979,"Keith, Leroy",,United,1934,1956,3,3,Otros,Disparo,Hombres
980,"Kelley, John William",,United,1986,1988,3,3,Violación,Asesinato,Desconocidos
983,"Kemper, Edmund",The Co-Ed Killer,United,1964,1973,10,10,Otros,Asesinato,Mujeres
985,"Kibbe, Roger",The I-5 Strangler,United,1977,1987,8,8+,Otros,Estrangulamiento,Hombres
986,"Kimball, Scott Lee",,United,2003,2004,4,5+,Otros,Asesinato,Hombres
987,"Kimes, Sante",,United,1996,1998,2,3,Otros,Asesinato,Desconocidos
988,"Kinne, Sharon",,United,1962,1964,3,3,Otros,Asesinato,Desconocidos
989,"Kirkland, Anthony",,United,1987,2009,5,6,Otros,Asesinato,Hombres
990,"Klimek, Tillie",,United,1914,1921,5,7,Otros,Veneno,Desconocidos
991,"Knapp, Alfred",The Hamilton Strangler,United,1894,1902,5,5+,Otros,Estrangulamiento,Desconocidos
992,"Knight, Thomas",,United,1974,1980,4,4,Otros,Asesinato,Personas_Vulnerables
993,"Knighton, Robert Wesley",,United,1973,1990,5,5,Otros,Asesinato,Hombres
994,"Knorr, Theresa",,United,1984,1985,2,3,Otros,Asesinato,Desconocidos
995,"Knotek, Michelle",,United,1994,2003,2,3,Tortura,Asesinato,Desconocidos
997,"Koedatich, James",,United,1971,1982,4,4,Otros,Asesinato,Hombres
998,"Kohlhepp, Todd",Superbike Murders,United,2003,2016,7,10+,Otros,Asesinato,Desconocidos
999,"Kokoraleis, Andrew",The Ripper Crew,United,1981,1982,18,18,Culto satánico,Asesinato,Desconocidos
1000,"Kokoraleis, Thomas",The Ripper Crew,United,1981,1982,18,18,Culto satánico,Asesinato,Desconocidos
1001,"Kondro, Joseph",The Longview Serial Killer,United,1985,1996,2,3+,Secuestro,Asesinato,Mujeres
1003,"Kraft, Randy",The Scorecard Killer,United,1971,1983,16,67,Violación,Asesinato,Hombres
1004,"Krajcir, Timothy",,United,1977,1982,9,9,Otros,Asesinato,Hombres
1005,"Kudzinowski, Peter",,United,1924,1928,3,3,Otros,Asesinato,Menores
1006,"Kunnecke, William",,United,1898,1903,1,3,Otros,Asesinato,Desconocidos
1007,"LaBarre, Sheila",,United,2004,2006,2,4,Otros,Asesinato,Desconocidos
1008,"Ladd, Robert Charles",,United,1978,1996,4,4,Otros,Asesinato,Menores
1009,"Lagrone, Edward",,United,1976,1991,4,6,Otros,Asesinato,Desconocidos
1010,"Lake, Leonard",The Operation Miranda Killers,United,1983,1985,11,25,Otros,Asesinato,Desconocidos
1013,"LaRette, Anthony",,United,1976,1980,16,31,Violación,Apuñalamiento,Hombres
1015,"Laudenberg, Adolph",The Santa Strangler,United,1972,1975,4,6,Otros,Estrangulamiento,Hombres
1016,"Lee, Derrick Todd",The Baton Rouge Serial Killer,United,1992,2003,7,7+,Otros,Asesinato,Desconocidos
1017,"Lewingdon, Gary",The .22 Caliber Killers,United,1977,1978,10,10,Otros,Asesinato,Desconocidos
1018,"Lewingdon, Thaddeus",The .22 Caliber Killers,United,1977,1978,9,9,Otros,Asesinato,Desconocidos
1019,"Liberty, Robert",The Candlelight Killer,United,1966,1970,3,3,Otros,Asesinato,Hombres
1020,"Lindahl, Bruce",,United,1974,1981,2,12+,Violación,Asesinato,Desconocidos
1021,"Lindsey, William Darrell",,United,1988,1996,7,25,Otros,Asesinato,Prostitutas
1022,"Lipscomb, Nathaniel",The Dawn Strangler,United,1958,1959,3,4,Violación,Estrangulamiento,Hombres
1023,"Little, Jerry",,United,1985,1988,4,4,Violación,Estrangulamiento,Hombres
1024,"Little, Samuel",The Choke-and-Stroke Killer,United,1970,2005,61,93+,Otros,Asesinato,Hombres
1025,"Lockett, Will",,United,1912,1920,4,4,Otros,Asesinato,Desconocidos
1026,"Lockhart, Michael Lee",,United,1987,1988,4,6+,Otros,Asesinato,Desconocidos
1028,"Long, Neal",The Shotgun Slayer,United,1972,1975,4,7+,Otros,Disparo,Personas_Vulnerables
1029,"Lucas, Henry Lee",,United,1960,1983,3,200+,Otros,Asesinato,Desconocidos
1030,"Lunz, Christopher",,United,2003,2009,3,20,Otros,Asesinato,Hombres
1031,"Lyles, Anjette",,United,1952,1958,4,4,Otros,Veneno,Desconocidos
1033,"Madison, Michael",,United,2012,2013,3,3+,Otros,Asesinato,Hombres
1034,"Mailhot, Jeffrey",The Rhode Island Ripper,United,2003,2004,3,3,Otros,Asesinato,Prostitutas
1035,"Majors, Orville Lynn",,United,1993,1995,6,130,Otros,Asesinato,Personas_Vulnerables
1039,"Mansfield, Billy",,United,1975,1980,5,5+,Otros,Asesinato,Mujeres
1040,"Marcelin, Harvey",,United,1963,2022,3,3,Otros,Asesinato,Hombres
1041,"Marquette, Richard Laurence",,United,1961,1975,3,3,Otros,Asesinato,Desconocidos
1042,"Martin, Deangelo Kenneth",,United,2018,2019,4,6,Violación,Asesinato,Hombres
