,Nombre,Apodo,País,Año inicio,Año fin,Víctimas probadas,Víctimas estimadas,Delito principal,Forma de matar,Víctimas
1505,Kwon Jae-chan,,South,2003,2021,3,3,Otros,Asesinato,personas_vulnerables
1506,Hugo Ernesto Osorio Chavez,,El,2019,2021,14,40,Violación,Asesinato,mujeres
1507,Andrés Mendoza,,Mexico,2001,2021,19,19+,Canibalismo,Asesinato,menores
1508,Lázaro Barbosa de Sousa,,Brazil,2007,2021,6,6,Otros,Asesinato,hombres
1509,Masten Milimu Wanjala,,Kenya,2015,2021,10,10,Otros,Asesinato,menores
1510,Charles Rowland,,United,2021,Unknown,2,9,Otros,Disparo,hombres
1511,Daniel Printz,,United,2017,2021,1,4,Otros,Asesinato,hombres
1512,Fabricio Eloy Ludeña,Undertaker of Dayuma,Ecuador,2017,2021,3,4,Otros,Asesinato,hombres
1513,José Tiago Correia Soroka,,Brasil,2021,Unknown,3,5,Otros,Estrangulamiento,hombres
1514,Richard Choque,,Bolivia,2013,2021,3,4+,Violación,Asesinato,hombres
1515,Shavkat Shayakhmedov,,Russia,2000,2021,4,4,Violación,Asesinato,menores
1516,William Devonshire,,United,2003,2022,3,3,Otros,Asesinato,hombres
1517,Malachi Uwem,,Nigeria,2022,Unknown,15,15,Otros,Disparo,personas_vulnerables
1518,Roberto José Carmona,The Human Hyena,Argentina,1986,2022,4,4,Violación,Asesinato,hombres
1519,Mario Alberto Berrios Muñoz,,Mexico,2021,2023,2,10+,Violación,Asesinato,hombres
